1,539,462,3,3,1,3,2,1,2,1,1,Al
1000,0,0,2,0,0,0,0,2,0,1,2,Al
400,3,3,0,1,3,0,2,2,1,67,534,Al
400,400,200,0,3,0,1,0,3,3,0,1,Al
1,1000,1,2,1,1,2,0,2,0,1,2,Al
1,546,455,2,1,1,3,0,1,3,3,1,Al
1000,2,0,2,1,2,2,3,3,2,2,3,Al
250,500,250,0,0,2,2,2,0,1,1,2,Al
1000,3,1,2,2,1,0,0,0,1,0,0,Al
2,0,1,1,2,3,1,3,3,2,2,1,Al
3,3,3,125,500,375,3,0,1,1,2,1,Cu
3,1,1,0,1,1000,0,2,1,3,3,0,Cu
3,1,1,2,0,1000,1,2,0,0,0,2,Cu
200,0,3,0,1,400,200,2,0,3,1,200,Cu
2,1,2,3,0,1000,1,1,1,1,2,3,Cu
2,0,3,77,1,308,0,1,0,1,1,616,Cu
0,2,3,800,0,200,1,3,2,3,1,0,Cu
3,0,1,1,3,1000,3,0,1,3,0,0,Cu
3,1,2,1,2,1000,2,0,1,0,1,2,Cu
2,0,1,3,3,1000,0,0,3,0,2,1,Cu
0,0,1,3,2,1000,3,0,1,3,2,2,Cu
2,3,2,1,3,3,286,572,143,1,3,2,Pb
3,0,0,3,3,2,400,2,200,400,3,3,Pb
1,0,2,0,2,26,744,26,154,52,3,1,Pb
2,0,1,1,3,1,223,667,112,2,3,1,Pb
0,2,2,1,1,2,667,2,334,3,1,0,Pb
1,2,2,1,1,2,667,3,334,2,0,0,Pb
0,1,0,0,2,2,696,44,261,1,3,3,Pb
2,1,1,2,0,3,474,369,158,2,2,2,Pb
1,0,0,2,0,1,500,167,3,334,2,1,Pb
0,1,1,2,2,1,334,1,0,667,2,3,Pb
0,1,2,1,0,0,0,3,0,2,527,474,Zn
1,3,3,1,2,2,3,2,1,84,1,917,Zn
1,3,2,0,1,0,2,1,3,1,2,1000,Zn
3,1,2,1,2,1,3,0,3,0,2,1000,Zn
3,3,2,0,3,3,3,2,2,0,3,1000,Zn
1,1,3,0,3,1,0,1,1,3,3,1000,Zn
0,3,0,1,3,0,3,2,2,0,1,1000,Zn
0,2,1,0,2,2,3,0,2,26,1,975,Zn
1,0,0,0,2,3,3,0,2,0,3,1000,Zn
2,2,0,0,2,3,2,1,2,200,3,800,Zn
